"제목,평점,디테일1,디테일2"
자산어보,9.21,드라마,네티즌9.21참여 870명|예매율32.02%
고질라 VS. 콩,8.40,액션,"네티즌8.40참여 2,280명|예매율19.91%"
극장판 귀멸의 칼날: 무한열차편,9.31,애니메이션,"네티즌9.31참여 10,477명|예매율10.46%"
미나리,7.81,드라마,"네티즌7.81참여 3,800명|예매율7.76%"
아무도 없는 곳,7.06,드라마,네티즌7.06참여 160명|예매율4.52%
패왕별희 디 오리지널,9.32,드라마,"네티즌9.32참여 3,069명|예매율4.25%"
해길랍,6.12,멜로/로맨스,네티즌6.12참여 146명|예매율3.19%
라야와 마지막 드래곤,9.16,애니메이션,"네티즌9.16참여 1,561명|예매율3.16%"
소울,9.30,애니메이션,"네티즌9.30참여 9,530명|예매율1.64%"
"조제, 호랑이 그리고 물고기들",9.05,애니메이션,네티즌9.05참여 142명|예매율1.63%
최면,5.26,공포,네티즌5.26참여 279명|예매율1.2%
스파이의 아내,8.26,서스펜스,네티즌8.26참여 68명|예매율1.04%
중경삼림,8.93,드라마,"네티즌8.93참여 2,500명|예매율0.9%"
커피 오어 티,8.86,코미디,네티즌8.86참여 241명|예매율0.89%
당신의 사월,3.54,다큐멘터리,네티즌3.54참여 82명|예매율0.89%
인천스텔라,7.74,SF,네티즌7.74참여 53명|예매율0.77%
파이터,7.56,드라마,네티즌7.56참여 36명|예매율0.54%
죽은 시인의 사회,9.38,드라마,"네티즌9.38참여 7,431명|예매율0.49%"
정말 먼 곳,8.41,드라마,네티즌8.41참여 87명|예매율0.47%
부활: 그 증거,9.34,다큐멘터리,네티즌9.34참여 399명|예매율0.44%
더 박스,9.04,드라마,네티즌9.04참여 466명|예매율0.28%
부활,9.65,다큐멘터리,네티즌9.65참여 111명|예매율0.27%
러빙 빈센트,9.22,애니메이션,"네티즌9.22참여 5,841명|예매율0.18%"
아이 씨 유,7.88,공포,네티즌7.88참여 76명|예매율0.16%
빛과 철,8.28,드라마,네티즌8.28참여 123명|예매율0.15%
반딧불이 딘딘과 용감한 곤충 탐험대,6.92,애니메이션,네티즌6.92참여 13명|예매율0.13%
시 읽는 시간,9.22,다큐멘터리,네티즌9.22참여 9명|예매율0.13%
모리타니안,8.72,스릴러,네티즌8.72참여 199명|예매율0.12%
불한당: 나쁜 놈들의 세상,6.43,범죄,"네티즌6.43참여 12,918명|예매율0.1%"
해피 투게더,9.20,드라마,"네티즌9.20참여 1,143명|예매율0.09%"
화양연화,8.78,드라마,"네티즌8.78참여 1,835명|예매율0.08%"
카오스 워킹,6.30,모험,네티즌6.30참여 583명|예매율0.07%
날씨의 아이,7.95,애니메이션,"네티즌7.95참여 5,883명|예매율0.07%"
반지의 제왕: 왕의 귀환,9.38,판타지,"네티즌9.38참여 7,276명|예매율0.06%"
반지의 제왕: 두 개의 탑,9.35,판타지,"네티즌9.35참여 2,870명|예매율0.06%"
극장판 바이올렛 에버가든,9.48,애니메이션,"네티즌9.48참여 1,018명|예매율0.05%"
아틱,8.30,드라마,네티즌8.30참여 429명|예매율0.05%
라라의 신비한 모험,8.00,애니메이션,네티즌8.00참여 12명|예매율0.05%
랜드,9.35,드라마,네티즌9.35참여 20명|예매율0.05%
와일드 마운틴 타임,7.52,멜로/로맨스,네티즌7.52참여 27명|예매율0.04%
노가리,9.31,드라마,네티즌9.31참여 13명|예매율0.04%
해변의 에트랑제,8.36,애니메이션,네티즌8.36참여 89명|예매율0.04%
아일로,9.36,다큐멘터리,네티즌9.36참여 11명|예매율0.04%
암모나이트,8.18,드라마,네티즌8.18참여 82명
턴: 더 스트릿,9.28,드라마,네티즌9.28참여 50명|예매율0.03%
싱크로닉,6.62,판타지,네티즌6.62참여 8명|예매율0.03%
반지의 제왕: 반지 원정대,9.29,판타지,"네티즌9.29참여 4,141명|예매율0.03%"
"힘내세요, 병헌씨",8.53,코미디,네티즌8.53참여 213명
아이 빌리브,8.77,드라마,네티즌8.77참여 26명|예매율0.03%
낙엽귀근,9.22,코미디,네티즌9.22참여 23명|예매율0.03%
117편의 러브레터,8.91,멜로/로맨스,네티즌8.91참여 11명|예매율0.03%
그녀가 사라졌다,8.53,멜로/로맨스,네티즌8.53참여 43명|예매율0.03%
아비정전,8.48,드라마,네티즌8.48참여 818명|예매율0.02%
세자매,8.55,드라마,"네티즌8.55참여 1,351명|예매율0.02%"
바울,9.16,드라마,"네티즌9.16참여 1,985명|예매율0.02%"
라스트 레터,7.99,멜로/로맨스,네티즌7.99참여 180명|예매율0.02%
남매의 여름밤,8.94,드라마,네티즌8.94참여 427명|예매율0.02%
고백,6.06,드라마,네티즌6.06참여 107명|예매율0.02%
동사서독 리덕스,8.66,드라마,네티즌8.66참여 163명|예매율0.02%
신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 전편,7.80,애니메이션,네티즌7.80참여 5명
몬테크리스토: 더 뮤지컬 라이브,9.45,공연실황,네티즌9.45참여 38명
헬렌: 내 영혼의 자화상,8.11,드라마,네티즌8.11참여 28명|예매율0.02%
리틀 조,5.50,드라마,네티즌5.50참여 4명
가나의 혼인잔치: 언약,9.42,다큐멘터리,네티즌9.42참여 374명|예매율0.01%
너의 이름은.,8.79,애니메이션,"네티즌8.79참여 32,655명|예매율0.01%"
마태복음,7.71,드라마,네티즌7.71참여 24명|예매율0.01%
아이카,9.50,드라마,네티즌9.50참여 14명|예매율0.01%
유공자,8.50,드라마,네티즌8.50참여 6명|예매율0.01%
밤빛,8.60,가족,네티즌8.60참여 10명|예매율0.01%
추룡 2 : 패왕,9.33,액션,네티즌9.33참여 3명|예매율0.01% 미만
미션 파서블,7.33,코미디,"네티즌7.33참여 2,159명|예매율0.01% 미만"
신 고질라,4.98,SF,네티즌4.98참여 763명|예매율0.01% 미만
애비규환,6.92,드라마,네티즌6.92참여 404명|예매율0.01% 미만
UFO 스케치,9.17,다큐멘터리,네티즌9.17참여 29명|예매율0.01% 미만
극장판 소드 아트 온라인 -오디널 스케일-,8.95,애니메이션,"네티즌8.95참여 2,256명|예매율0.01% 미만"
너는 여기에 없었다,7.82,드라마,네티즌7.82참여 330명|예매율0.01% 미만
너의 췌장을 먹고 싶어,8.09,드라마,"네티즌8.09참여 4,895명|예매율0.01% 미만"
더 테이블,8.01,드라마,"네티즌8.01참여 1,647명|예매율0.01% 미만"
립반윙클의 신부,7.40,드라마,네티즌7.40참여 728명|예매율0.01% 미만
신은 죽지 않았다 3: 어둠 속의 빛,8.31,드라마,네티즌8.31참여 413명|예매율0.01% 미만
아수라도,5.98,액션,네티즌5.98참여 188명|예매율0.01% 미만
예수는 역사다,7.79,드라마,"네티즌7.79참여 1,325명|예매율0.01% 미만"
천로역정: 천국을 찾아서,8.83,애니메이션,"네티즌8.83참여 1,034명|예매율0.01% 미만"
최악의 하루,7.80,멜로/로맨스,"네티즌7.80참여 1,312명|예매율0.01% 미만"
폴라로이드 작동법,8.75,드라마,네티즌8.75참여 119명|예매율0.01% 미만
하나와 앨리스,8.12,멜로/로맨스,"네티즌8.12참여 1,600명|예매율0.01% 미만"
겁쟁이 페달: 더 무비,9.01,애니메이션,네티즌9.01참여 166명|예매율0.01% 미만
겁쟁이 페달: 리라이드,9.44,애니메이션,네티즌9.44참여 25명|예매율0.01% 미만
겁쟁이 페달: 리로드,8.93,애니메이션,네티즌8.93참여 27명|예매율0.01% 미만
겨울밤에,6.63,드라마,네티즌6.63참여 38명|예매율0.01% 미만
고질라,6.68,액션,"네티즌6.68참여 4,587명|예매율0.01% 미만"
교실 안의 야크,9.42,드라마,네티즌9.42참여 155명|예매율0.01% 미만
그 여름 가장 조용한 바다,8.76,드라마,네티즌8.76참여 245명|예매율0.01% 미만
그리고 방행자,9.53,다큐멘터리,네티즌9.53참여 32명|예매율0.01% 미만
극장판 쿠로코의 농구 라스트 게임,9.10,애니메이션,네티즌9.10참여 463명|예매율0.01% 미만
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,4.53,애니메이션,네티즌4.53참여 57명|예매율0.01% 미만
기도하는 남자,7.89,드라마,네티즌7.89참여 126명|예매율0.01% 미만
너의 새는 노래할 수 있어,8.14,멜로/로맨스,네티즌8.14참여 57명|예매율0.01% 미만
당신을 기다리는 시간,8.37,드라마,네티즌8.37참여 111명|예매율0.01% 미만
두번째 사랑,8.00,멜로/로맨스,네티즌8.00참여 899명|예매율0.01% 미만
러브 라이브! 더 스쿨 아이돌 무비,8.51,애니메이션,"네티즌8.51참여 2,553명|예매율0.01% 미만"
러브 액츄얼리,8.93,멜로/로맨스,"네티즌8.93참여 5,782명|예매율0.01% 미만"
만춘,8.19,드라마,네티즌8.19참여 32명|예매율0.01% 미만
멜랑콜리아,7.76,드라마,네티즌7.76참여 753명|예매율0.01% 미만
미드나잇 버스,8.68,드라마,네티즌8.68참여 25명|예매율0.01% 미만
밀양,7.92,드라마,"네티즌7.92참여 5,237명|예매율0.01% 미만"
브레이브 언더 파이어,8.34,액션,네티즌8.34참여 79명|예매율0.01% 미만
브레이킹 더 웨이브,8.81,드라마,네티즌8.81참여 135명|예매율0.01% 미만
블루 재스민,8.51,드라마,네티즌8.51참여 932명|예매율0.01% 미만
사막의 라이온,8.53,전쟁,네티즌8.53참여 43명|예매율0.01% 미만
살인광 시대,8.68,코미디,네티즌8.68참여 41명|예매율0.01% 미만
스잔나,8.78,멜로/로맨스,네티즌8.78참여 18명|예매율0.01% 미만
시,8.93,드라마,"네티즌8.93참여 1,911명|예매율0.01% 미만"
시티 라이트,9.44,코미디,네티즌9.44참여 198명|예매율0.01% 미만
식물도감,8.51,멜로/로맨스,네티즌8.51참여 136명|예매율0.01% 미만
썩시드,8.00,코미디,네티즌8.00참여 9명|예매율0.01% 미만
아무도 모른다,8.88,드라마,"네티즌8.88참여 1,964명|예매율0.01% 미만"
안녕하세요,8.93,드라마,네티즌8.93참여 41명|예매율0.01% 미만
에덴: 로스트 인 뮤직,7.78,드라마,네티즌7.78참여 51명|예매율0.01% 미만
에로스,6.74,드라마,네티즌6.74참여 89명|예매율0.01% 미만
열혈남아,7.72,범죄,"네티즌7.72참여 1,420명|예매율0.01% 미만"
오아시스,9.18,드라마,"네티즌9.18참여 1,394명|예매율0.01% 미만"
오차즈케의 맛,7.70,드라마,네티즌7.70참여 10명|예매율0.01% 미만
일대종사,8.01,무협,"네티즌8.01참여 1,454명|예매율0.01% 미만"
지구 최후의 밤,7.48,드라마,네티즌7.48참여 153명|예매율0.01% 미만
질투,7.23,드라마,네티즌7.23참여 61명|예매율0.01% 미만
초록물고기,8.82,드라마,네티즌8.82참여 732명|예매율0.01% 미만
초속5센티미터,8.36,애니메이션,"네티즌8.36참여 4,117명|예매율0.01% 미만"
카페 소사이어티,7.69,코미디,"네티즌7.69참여 1,340명|예매율0.01% 미만"
콜드 워,8.26,드라마,네티즌8.26참여 350명|예매율0.01% 미만
행복한 라짜로,8.66,드라마,네티즌8.66참여 224명|예매율0.01% 미만
허트 로커,8.44,전쟁,"네티즌8.44참여 3,172명|예매율0.01% 미만"
3개의 얼굴들,8.67,드라마,네티즌8.67참여 9명
건축학개론,8.67,멜로/로맨스,"네티즌8.67참여 15,194명"
늑대소년,8.66,멜로/로맨스,"네티즌8.66참여 34,311명"
맹크,7.17,드라마,네티즌7.17참여 83명
미드나이트 스카이,6.92,드라마,네티즌6.92참여 429명
미스 사이공: 25주년 특별 공연,9.20,공연실황,네티즌9.20참여 276명
벌새,8.76,드라마,"네티즌8.76참여 2,916명"
소공녀,8.79,멜로/로맨스,"네티즌8.79참여 2,800명"
스왈로우,7.00,드라마,네티즌7.00참여 2명
아가씨,7.14,스릴러,"네티즌7.14참여 23,651명"
테넷,8.17,액션,"네티즌8.17참여 10,806명"
파수꾼,9.19,드라마,"네티즌9.19참여 4,191명"
프라미싱 영 우먼,8.44,범죄,네티즌8.44참여 59명
